Policy,Utility,Lower Bound,Upper Bound
"(1, 3, 2, -1, 1, nan, 3, -1, 0, 3, 3, 1)","[-0.04, -0.04, -0.04, 1.0, -0.071968, 0.0, -0.071968, -1.0, -0.0975168256, -0.11793544701952, -0.14144361245800038, -0.2529417350764339]",1.1326092221063386,3.4919708565496754
"(1, 3, 3, -1, 2, nan, 1, -1, 1, 3, 3, 3)","[-0.04, -0.04, -0.043996, 1.0, -0.043996, 0.0, -0.0443952004, -1.0, -0.07516160320000001, -0.04, -0.04443508051996, -0.17541251635155206]",1.1273573995677215,1.6247291544142848
"(3, 2, 0, -1, 2, nan, 2, -1, 2, 0, 2, 2)","[-0.04, -0.04, -0.04, 1.0, -0.04, 0.0, -0.043996, -1.0, -0.043996, -0.04, -0.0443952004, -0.1399]",0.6616086513530011,0.7506980292086406
"(0, 3, 1, -1, 3, nan, 2, -1, 2, 3, 3, 1)","[-0.04, -0.043996, -0.0443952004, 1.0, -0.04, 0.0, -0.04, -1.0, -0.04, -0.043996, -0.0443952004, -0.04443508051996]",1.2771945487934544,1.3196227346655376
"(2, 1, 3, -1, 1, nan, 2, -1, 3, 1, 0, 2)","[-0.04, -0.04, -0.071968, 1.0, -0.043996, 0.0, -0.04, -1.0, -0.04, -0.04, -0.043996, -0.17506160320000003]",2.3731942929269656,3.119671313440758
"(1, 3, 3, -1, 2, nan, 1, -1, 0, 2, 2, 0)","[-0.04, -0.071968, -0.04, 1.0, -0.043996, 0.0, -0.04, -1.0, -0.0443952004, -0.07548064415968, -0.07950851635155204, -0.04794290078352005]",1.4637616724474638,1.8942264113045653
"(3, 3, 0, -1, 1, nan, 1, -1, 3, 0, 1, 2)","[-0.04, -0.04, -0.04, 1.0, -0.04, 0.0, -0.043996, -1.0, -0.071968, -0.0471896032, -0.04471424135968, -0.8436669527118321]",1.4959198476590108,1.6632281594649942
"(2, 2, 3, -1, 0, nan, 0, -1, 1, 1, 2, 1)","[-0.04, -0.04, -0.043996, 1.0, -0.043996, 0.0, -0.0443952004, -1.0, -0.0443952004, -0.04443508051996, -0.07994759687151204, -0.04798676492746405]",1.3897197128087182,2.5249198009989433
"(2, 1, 2, -1, 0, nan, 1, -1, 1, 3, 0, 3)","[-0.04, -0.043996, -0.04, 1.0, -0.071968, 0.0, -0.071968, -1.0, -0.0471896032, -0.07771393087744, -0.047763621694656255, -0.1780726864583693]",2.0613345605088385,2.5648651097416595
"(0, 3, 2, -1, 3, nan, 3, -1, 2, 3, 0, 0)","[-0.04, -0.071968, -0.0471896032, 1.0, -0.071968, 0.0, -0.04471424135968, -1.0, -0.0471896032, -0.04, -0.07973162169465627, -0.1399]",1.9076457940117129,2.5703050633621594
